# SAP Notes fetched but intentionally NOT integrated (off-scope for RISE/PCE)
# Format: <id>	<reason>
1058521	EH&S/WWI report generation (MS Word) printing errors; not part of RISE/PCE core.
1143158	EH&S CGSADM remote-gateway management server bug; not part of RISE/PCE core.
1223407	SCM/APO Optimizer virtualization sizing; not part of RISE/PCE core.
1262709	SCM/APO RCCF slot/destination reservation internals; not part of RISE/PCE core.
1271737	Obsolete 2008 program-error fix for ESH_COCKPIT wrong-client link; negligible PCE bearing.
1326277	SCM/APO PP/DS optimizer parallel processing; not part of RISE/PCE core.
1405042	Release strategy for niche PAY-ENGINE (SAP Payment Engine) banking add-on; not RISE/PCE core.
1551743	bgRFC SBGRFCMON mass-delete fix scoped only to SAP_BASIS 700-711, obsolete for S/4HANA (7.5+); no PCE bearing.
1577054	Trivial cosmetic KBA on SU01 auto-filling default address from creating admin; negligible PCE value.
1577112	Pure APO SCM Optimizer sizing sheets (per-optimization-call memory/SAPS); legacy SCM-specific, not core to S/4HANA PCE landscape.
1580877	SAP GRC Access Control is a separate licensed product, not part of the RISE/PCE S/4HANA bundle.
1618524	SAP GRC Access Control web service integration; GRC is a separate product outside the RISE/PCE core scope.
1640509	APO/SCM Optimizer landscape FAQ for a standalone engine; too niche and legacy-SCM-oriented for PCE core.
1654282	GRC Access Control file connector config for non-SAP legacy systems; GRC is a separate product, not part of RISE/PCE.
1660069	Generic SAP Order Management/contract-center contact process, not PCE- or RISE-specific technical content.
1744331	GRC Access Control table-growth housekeeping; GRC is a separate product outside the RISE/PCE core scope.
1768196	Data Services 4.x BOE/IPS batch-job user account admin; standalone EIM product, not part of RISE/PCE S/4HANA scope.
1791874	OpenText partner product software/support engagement lifecycle; not relevant to PCE/RISE operations.
1942641	SCM/TM VSR optimizer install and local-storage/RAM-drive performance tuning; on-premise hardware placement managed by ECS, not customer-actionable in PCE.
2074843	liveCache/SCM-APO version matrix, not part of RISE/PCE S/4HANA scope.
2126400	SAP Data Services (BODS) RFC server setup, a separate EIM product not part of RISE/PCE core.
2139025	CPI-DS login/SSO org issue, a standalone data-services cloud tool not part of RISE/PCE.
2184695	SAP Data Services Designer debug package procedure, not part of RISE/PCE core scope.
2187242	CPI-DS debug package procedure for a standalone data-services cloud tool, not RISE/PCE core.
2233630	NetWeaver Enterprise Search connector modeling (ESH_COCKPIT/ESH_MODELER); niche legacy component with no PCE/RISE bearing.
2243812	GRC Access Control LDAP diagnostic (custom ZLADT report); GRC AC is a separate add-on product, not part of RISE/PCE core.
2265412	On-premise SAP Data Services 4.x (DSConfig.txt RFC trace); standalone EIM product, not part of RISE/PCE.
2329554	License-key request process for OpenText/Micro Focus partner solutions (XX-PART-OPT); partner add-on, not part of RISE/PCE core scope.
2338777	ICM-to-Web-Dispatcher redirect config (icm/HTTP/mod_XX modification handler); Web Dispatcher and ICM front-end are SAP-managed in RISE PCE/ECS, so customers do not configure this.
2447201	Documentation index for SAP Global Trade Services, a separate add-on product, not part of core RISE/PCE S/4HANA.
2452588	Generic Basis archive tool download/patch info; kernel and archive handling are SAP-managed in PCE, no meaningful PCE angle.
2511548	GRC Access Control (AC 10.0/10.1/12.0) connector-scenario config is a separate GRC product, not part of the RISE/PCE S/4HANA bundle.
2521522	CI-DS WebServicesUser setup for triggering jobs from IBP; concerns IBP and Cloud Integration for Data Services, not S/4HANA PCE.
2530034	Generic SAP for Me support-portal notification preferences; not specific to RISE/PCE operations.
2544982	SoapUI test procedure for CI-DS WebServicesUser; concerns Cloud Integration for Data Services, not S/4HANA PCE.
2422344	Internal SAP unit test (class CL_SRT_TEST_IDOC_WS) correction with no PCE practitioner relevance.
2424200	SAP Cloud Integration for Data Services (CI-DS/Data Services) troubleshooting - excluded Data Services scope.
2434851	Embedded PPDS functional customizing (SPRO/CIF setup) - APO/SCM niche functional config, not a core PCE architect/basis/ops concern.
2463636	GRC Access Control/Process Control/Risk Management add-on uninstallation - GRC is a separate product excluded from scope.
2464252	SAP Cloud Integration for Data Services (CI-DS) SFTP source config - excluded Data Services scope.
2468663	CI-DS (Data Services) + IBP datastore issue - both Data Services and IBP are outside PCE scope.
2503438	Legacy NetWeaver 7.4/7.5 SAP_UI Maintenance Planner validation error on out-of-maintenance releases; no S/4HANA PCE bearing.
2562814	Product Availability Matrix pointer for SAP Cloud Integration for Data Services (CI-DS/CPI-DS), a Data Services niche product outside PCE scope.
2565696	ESH_COCKPIT 500 error for legacy NetWeaver Enterprise Search; niche non-core component with no PCE bearing.
2569847	Link-farm help/enablement landing page for SAP Analytics Cloud, a separate cloud product; no PCE-specific technical content.
2580764	OpenText partner-solution Knowledge Center login request; not related to S/4HANA PCE/RISE operations.
2586324	Deprecated SAP Fiori Client native mobile app against legacy HEC proxy (2018, SMP SDK); no bearing on current S/4HANA Cloud Private Edition.
2593057	IBP-specific CI-DS job scheduling/communication arrangement setup; IBP is a separate SCM cloud product, not S/4HANA PCE.
2599134	SAP Data Services Agent flat-file directory allowlisting for CI-DS; Data Services tooling excluded per scope.
2615922	Narrow 2018 program-error correction for Fiori Launchpad LPD_CUST content checks (/UI2/FLC, /UI2/FLIA); just 'apply the note', no PCE-specific guidance.
2628950	Financial Services Payment Engine SOA data types (PaymentTransactionMessage); niche non-S/4 FS component, no PCE bearing.
2628981	Financial Services Payment Engine SOA data types (PaymentTransactionOrder); niche non-S/4 FS component, no PCE bearing.
2630779	SAP Integrated Business Planning (IBP) product lifecycle OData; separate SCM/APO-lineage cloud product, not S/4HANA PCE.
2644038	SCM Optimizer RFC destinations (OPTSERVER_*) for TM/PP-DS; excluded SCM Optimizer niche.
2647412	SAP for Me Case Quality Report / CCoE incident-quality dashboard; generic SAP support administration tool with no PCE-specific bearing.
2664683	Inbound SMTP email queue fix (SCON, =DBG-) scoped to Basis release <=702; legacy NetWeaver technique with no bearing on S/4HANA PCE (Basis 75x+).
2688045	Master note for UI Data Protection Masking 1809 (UISM 100/UIMUI5 200), an obsolete FBS version superseded by 2011 (master note 2980561), separately licensed and non-core; superseded by note 2692908 in this batch which covers the current considerations.
2700934	Guided-answers pointer for legacy SAP Cloud Platform Portal (NEO) freestyle/launchpad site troubleshooting; NEO is obsolete and not relevant to S/4HANA PCE.
2700990	Guided-answers pointer for SAP Cloud Platform NEO-environment extensibility of SuccessFactors; legacy NEO and non-PCE, no S/4HANA PCE bearing.
2709145	SAP Data Services 4.x SFTP file-location public-key troubleshooting; Data Services is explicitly out of scope and has no S/4HANA PCE bearing.
2716655	Describes the Solution Manager DVM App being sunset/decommissioned by Dec 31 2025; no forward-looking PCE value.
2721602	Connecting SAP Analytics Cloud to Integrated Business Planning; both are separate cloud products, not S/4HANA Cloud Private Edition.
2735876	SuccessFactors-specific OData API best practices for a separate cloud HCM product, not S/4HANA PCE.
2739079	GRC Access Control (Access Risk Analysis spool cleanup) is a separate product excluded from scope.
2755505	GRC Access Control connection-type clarification; separate product excluded from scope.
2757701	About IBP (Integrated Business Planning) datastores in CPI-DS for data services; SAP IBP is a separate cloud product, not S/4HANA PCE.
2761408	Niche UI refresh of type-system (X12/EDIFACT) license status in Integration Content Advisor; no PCE/RISE operational bearing.
2771578	Manual Web Dispatcher embedded deployment into ASCS/SCS profiles; ASCS/WDP infrastructure is SAP-managed in PCE, not a customer activity (also superseded by note 3115889).
2803139	Packaging contents of OpenText vendor-branded reselling products; separate third-party solution extension, no S/4HANA PCE operational relevance.
2844001	SAP IBP (Integrated Business Planning) Sovereign Cloud release restrictions - IBP is a separate SaaS product, not S/4HANA Cloud Private Edition.
2875761	Cloud Integration for Data Services (CI-DS) user access - Data Services product, excluded and not part of PCE integration stack (Integration Suite/Cloud Connector).
2878394	CPI-DS (Cloud Platform Integration for Data Services) REST debug - Data Services product, excluded per scope.
